Name	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	No..module	Zi	Pi	Domain	Phylum	Class	Order	Family	Genus	Domain_Phylum	year_trt
X16S_774	1	0	0	4.63e-136	0	79	0	0	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Bacteria_Unclassified	2012_control
X16S_775	2	96.25136965	1668	0.006413571	0	7	-1.120897077	0.5	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobineae_incertae_sedis	Aciditerrimonas	Bacteria_Actinobacteria	2012_control
X16S_7777	5	1343.117777	10057	0.016593746	0	6	0.744452765	0.56	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	Bacteria_Gemmatimonadetes	2012_control
X16S_778	3	753	5909	0.008031755	0	20	0	0	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Bacteria_Unclassified	2012_control
X16S_779	2	377	4928	0.00202319	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas	Bacteria_Proteobacteria	2012_control
X16S_78	1	0	0	4.63e-136	0	76	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Proteobacteria	2012_control
X16S_781	1	0	0	4.63e-136	0	76	0	0	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Unclassified	Unclassified	Bacteria_Proteobacteria	2012_control
X16S_7830	3	115.0098187	2020	0.003710164	0	6	-0.096058421	0.444444444	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Planctomyces	Bacteria_Planctomycetes	2012_control
X16S_784	1	0	0	4.27e-117	0	30	0	0	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Cytophagaceae	Adhaeribacter	Bacteria_Bacteroidetes	2012_control
X16S_787	1	0	0	1.56e-102	0	16	-0.75	0	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Bacteria_Unclassified	2012_control
X16S_7888	1	0	0	1.85e-12	0	3	-0.908037178	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unclassified	Unclassified	Gp6	Bacteria_Acidobacteria	2012_control
X16S_793	4	249.5943691	4216	0.024532658	0	7	0.160128154	0.625	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardiaceae	Rhodococcus	Bacteria_Actinobacteria	2012_control
