node1	node2	sign	year_trt	edge
X16S_21	X16S_290	 1	2009_controlandwarm	X16S_21__X16S_290
X16S_21	X16S_96	 1	2009_controlandwarm	X16S_21__X16S_96
X16S_384	X16S_2113	 1	2009_controlandwarm	X16S_384__X16S_2113
X16S_2207	X16S_21511	 1	2009_controlandwarm	X16S_2207__X16S_21511
X16S_2152	X16S_4901	-1	2009_controlandwarm	X16S_2152__X16S_4901
X16S_4186	X16S_21722	-1	2009_controlandwarm	X16S_4186__X16S_21722
X16S_21750	X16S_22376	-1	2009_controlandwarm	X16S_21750__X16S_22376
X16S_28	X16S_21760	 1	2009_controlandwarm	X16S_28__X16S_21760
X16S_4687	X16S_21760	 1	2009_controlandwarm	X16S_4687__X16S_21760
X16S_2177	X16S_25240	-1	2009_controlandwarm	X16S_2177__X16S_25240
X16S_218	X16S_358	 1	2009_controlandwarm	X16S_218__X16S_358
X16S_218	X16S_833	 1	2009_controlandwarm	X16S_218__X16S_833
X16S_291	X16S_21806	-1	2009_controlandwarm	X16S_291__X16S_21806
X16S_2187	X16S_4021	-1	2009_controlandwarm	X16S_2187__X16S_4021
X16S_2187	X16S_4474	-1	2009_controlandwarm	X16S_2187__X16S_4474
X16S_21915	X16S_25392	 1	2009_controlandwarm	X16S_21915__X16S_25392
X16S_233	X16S_21929	 1	2009_controlandwarm	X16S_233__X16S_21929
X16S_319	X16S_21929	 1	2009_controlandwarm	X16S_319__X16S_21929
X16S_96	X16S_21929	 1	2009_controlandwarm	X16S_96__X16S_21929
X16S_503	X16S_22049	 1	2009_controlandwarm	X16S_503__X16S_22049
X16S_221	X16S_7058	 1	2009_controlandwarm	X16S_221__X16S_7058
X16S_2213	X16S_5319	-1	2009_controlandwarm	X16S_2213__X16S_5319
X16S_2791	X16S_22242	 1	2009_controlandwarm	X16S_2791__X16S_22242
X16S_2748	X16S_22247	-1	2009_controlandwarm	X16S_2748__X16S_22247
X16S_3668	X16S_22257	-1	2009_controlandwarm	X16S_3668__X16S_22257
X16S_223	X16S_290	 1	2009_controlandwarm	X16S_223__X16S_290
X16S_49	X16S_223	 1	2009_controlandwarm	X16S_49__X16S_223
X16S_223	X16S_813	 1	2009_controlandwarm	X16S_223__X16S_813
X16S_8657	X16S_22376	-1	2009_controlandwarm	X16S_8657__X16S_22376
X16S_6772	X16S_22384	-1	2009_controlandwarm	X16S_6772__X16S_22384
X16S_600	X16S_22477	 1	2009_controlandwarm	X16S_600__X16S_22477
X16S_225	X16S_24090	 1	2009_controlandwarm	X16S_225__X16S_24090
X16S_225	X16S_5886	 1	2009_controlandwarm	X16S_225__X16S_5886
X16S_225	X16S_8875	 1	2009_controlandwarm	X16S_225__X16S_8875
X16S_2959	X16S_22596	-1	2009_controlandwarm	X16S_2959__X16S_22596
X16S_226	X16S_713	 1	2009_controlandwarm	X16S_226__X16S_713
X16S_239	X16S_22899	 1	2009_controlandwarm	X16S_239__X16S_22899
X16S_2290	X16S_7418	-1	2009_controlandwarm	X16S_2290__X16S_7418
X16S_2291	X16S_4697	 1	2009_controlandwarm	X16S_2291__X16S_4697
X16S_2293	X16S_24090	 1	2009_controlandwarm	X16S_2293__X16S_24090
X16S_5	X16S_2293	 1	2009_controlandwarm	X16S_5__X16S_2293
X16S_50	X16S_2293	 1	2009_controlandwarm	X16S_50__X16S_2293
X16S_2293	X16S_5886	 1	2009_controlandwarm	X16S_2293__X16S_5886
X16S_597	X16S_2293	 1	2009_controlandwarm	X16S_597__X16S_2293
X16S_944	X16S_2293	 1	2009_controlandwarm	X16S_944__X16S_2293
X16S_8849	X16S_23000	 1	2009_controlandwarm	X16S_8849__X16S_23000
X16S_2604	X16S_23014	-1	2009_controlandwarm	X16S_2604__X16S_23014
X16S_6359	X16S_23483	-1	2009_controlandwarm	X16S_6359__X16S_23483
X16S_2955	X16S_23598	-1	2009_controlandwarm	X16S_2955__X16S_23598
X16S_6174	X16S_23598	-1	2009_controlandwarm	X16S_6174__X16S_23598
X16S_551	X16S_23619	-1	2009_controlandwarm	X16S_551__X16S_23619
X16S_887	X16S_2368	-1	2009_controlandwarm	X16S_887__X16S_2368
X16S_3419	X16S_23802	-1	2009_controlandwarm	X16S_3419__X16S_23802
X16S_4060	X16S_23802	-1	2009_controlandwarm	X16S_4060__X16S_23802
X16S_721	X16S_23802	-1	2009_controlandwarm	X16S_721__X16S_23802
X16S_9087	X16S_23802	-1	2009_controlandwarm	X16S_9087__X16S_23802
X16S_2395	X16S_2593	-1	2009_controlandwarm	X16S_2395__X16S_2593
X16S_2395	X16S_2652	-1	2009_controlandwarm	X16S_2395__X16S_2652
X16S_2395	X16S_5855	-1	2009_controlandwarm	X16S_2395__X16S_5855
X16S_3804	X16S_23986	-1	2009_controlandwarm	X16S_3804__X16S_23986
X16S_2405	X16S_25371	-1	2009_controlandwarm	X16S_2405__X16S_25371
X16S_2405	X16S_2593	-1	2009_controlandwarm	X16S_2405__X16S_2593
X16S_6234	X16S_24085	 1	2009_controlandwarm	X16S_6234__X16S_24085
X16S_5	X16S_24090	 1	2009_controlandwarm	X16S_5__X16S_24090
X16S_50	X16S_24090	 1	2009_controlandwarm	X16S_50__X16S_24090
X16S_5886	X16S_24090	 1	2009_controlandwarm	X16S_5886__X16S_24090
X16S_597	X16S_24090	 1	2009_controlandwarm	X16S_597__X16S_24090
X16S_3220	X16S_24433	-1	2009_controlandwarm	X16S_3220__X16S_24433
X16S_432	X16S_24435	 1	2009_controlandwarm	X16S_432__X16S_24435
X16S_3142	X16S_24476	-1	2009_controlandwarm	X16S_3142__X16S_24476
X16S_672	X16S_2451	-1	2009_controlandwarm	X16S_672__X16S_2451
X16S_2466	X16S_2758	-1	2009_controlandwarm	X16S_2466__X16S_2758
X16S_2791	X16S_24660	 1	2009_controlandwarm	X16S_2791__X16S_24660
X16S_776	X16S_2476	-1	2009_controlandwarm	X16S_776__X16S_2476
X16S_2482	X16S_6772	-1	2009_controlandwarm	X16S_2482__X16S_6772
X16S_2513	X16S_3183	-1	2009_controlandwarm	X16S_2513__X16S_3183
X16S_2513	X16S_8655	-1	2009_controlandwarm	X16S_2513__X16S_8655
X16S_252	X16S_975	 1	2009_controlandwarm	X16S_252__X16S_975
X16S_9064	X16S_25240	-1	2009_controlandwarm	X16S_9064__X16S_25240
X16S_25371	X16S_25699	-1	2009_controlandwarm	X16S_25371__X16S_25699
X16S_33	X16S_2538	 1	2009_controlandwarm	X16S_33__X16S_2538
X16S_2539	X16S_6522	 1	2009_controlandwarm	X16S_2539__X16S_6522
X16S_96	X16S_25688	 1	2009_controlandwarm	X16S_96__X16S_25688
X16S_2691	X16S_25689	-1	2009_controlandwarm	X16S_2691__X16S_25689
X16S_5454	X16S_25689	-1	2009_controlandwarm	X16S_5454__X16S_25689
X16S_4760	X16S_25699	-1	2009_controlandwarm	X16S_4760__X16S_25699
X16S_5253	X16S_25699	-1	2009_controlandwarm	X16S_5253__X16S_25699
X16S_5969	X16S_25712	-1	2009_controlandwarm	X16S_5969__X16S_25712
X16S_2572	X16S_4761	-1	2009_controlandwarm	X16S_2572__X16S_4761
X16S_2574	X16S_4644	-1	2009_controlandwarm	X16S_2574__X16S_4644
X16S_2593	X16S_4210	-1	2009_controlandwarm	X16S_2593__X16S_4210
X16S_439	X16S_2594	 1	2009_controlandwarm	X16S_439__X16S_2594
X16S_453	X16S_2594	 1	2009_controlandwarm	X16S_453__X16S_2594
X16S_6174	X16S_26052	-1	2009_controlandwarm	X16S_6174__X16S_26052
X16S_2619	X16S_4631	-1	2009_controlandwarm	X16S_2619__X16S_4631
X16S_2707	X16S_2959	-1	2009_controlandwarm	X16S_2707__X16S_2959
X16S_2707	X16S_6755	-1	2009_controlandwarm	X16S_2707__X16S_6755
X16S_2707	X16S_6859	-1	2009_controlandwarm	X16S_2707__X16S_6859
X16S_2782	X16S_5876	-1	2009_controlandwarm	X16S_2782__X16S_5876
X16S_347	X16S_2791	 1	2009_controlandwarm	X16S_347__X16S_2791
X16S_358	X16S_2791	 1	2009_controlandwarm	X16S_358__X16S_2791
X16S_463	X16S_2791	 1	2009_controlandwarm	X16S_463__X16S_2791
X16S_2791	X16S_4910	 1	2009_controlandwarm	X16S_2791__X16S_4910
X16S_519	X16S_2791	 1	2009_controlandwarm	X16S_519__X16S_2791
X16S_2791	X16S_5401	 1	2009_controlandwarm	X16S_2791__X16S_5401
X16S_668	X16S_2791	 1	2009_controlandwarm	X16S_668__X16S_2791
X16S_83	X16S_2791	 1	2009_controlandwarm	X16S_83__X16S_2791
X16S_870	X16S_2791	 1	2009_controlandwarm	X16S_870__X16S_2791
X16S_28	X16S_3231	 1	2009_controlandwarm	X16S_28__X16S_3231
X16S_52	X16S_285	 1	2009_controlandwarm	X16S_52__X16S_285
X16S_496	X16S_2888	-1	2009_controlandwarm	X16S_496__X16S_2888
X16S_52	X16S_290	 1	2009_controlandwarm	X16S_52__X16S_290
X16S_711	X16S_2901	-1	2009_controlandwarm	X16S_711__X16S_2901
X16S_2908	X16S_7324	-1	2009_controlandwarm	X16S_2908__X16S_7324
X16S_694	X16S_2932	 1	2009_controlandwarm	X16S_694__X16S_2932
X16S_2943	X16S_5427	 1	2009_controlandwarm	X16S_2943__X16S_5427
X16S_948	X16S_3039	 1	2009_controlandwarm	X16S_948__X16S_3039
X16S_49	X16S_306	 1	2009_controlandwarm	X16S_49__X16S_306
X16S_3117	X16S_3821	-1	2009_controlandwarm	X16S_3117__X16S_3821
X16S_3149	X16S_3793	-1	2009_controlandwarm	X16S_3149__X16S_3793
X16S_3159	X16S_4118	-1	2009_controlandwarm	X16S_3159__X16S_4118
X16S_3226	X16S_4903	-1	2009_controlandwarm	X16S_3226__X16S_4903
X16S_3231	X16S_4687	 1	2009_controlandwarm	X16S_3231__X16S_4687
X16S_3239	X16S_4652	-1	2009_controlandwarm	X16S_3239__X16S_4652
X16S_3239	X16S_5315	-1	2009_controlandwarm	X16S_3239__X16S_5315
X16S_809	X16S_3281	 1	2009_controlandwarm	X16S_809__X16S_3281
X16S_3313	X16S_3544	-1	2009_controlandwarm	X16S_3313__X16S_3544
X16S_792	X16S_3319	-1	2009_controlandwarm	X16S_792__X16S_3319
X16S_507	X16S_3349	 1	2009_controlandwarm	X16S_507__X16S_3349
X16S_386	X16S_3424	 1	2009_controlandwarm	X16S_386__X16S_3424
X16S_3432	X16S_5919	-1	2009_controlandwarm	X16S_3432__X16S_5919
