OTU	X14_10N_H_N_1	X14_10S_H_C_1	X14_15N_H_N_0	X14_15S_H_C_0	X14_16N_H_N_1	X14_16S_H_C_1	X14_18N_H_N_0	X14_18S_H_C_0	X14_1N_H_N_1	X14_1S_H_C_1	X14_20N_H_N_1	X14_20S_H_C_1	X14_21N_H_N_2	X14_21S_H_C_2	X14_22N_H_N_2	X14_22S_H_C_2	X14_2N_H_N_0	X14_2S_H_C_0	X14_4N_H_N_2	X14_4S_H_C_2	X14_5N_H_N_0	X14_5S_H_C_0	X14_7N_H_N_2	X14_7S_H_C_2
X16S_405	12	12	18	22	11	10	7	9	5	7	13	4	12	3	3	1	13	7	9	6	12	7	2	11
X16S_406	1	9	0	1	0	0	0	0	1	0	1	1	20	8	16	13	0	0	0	0	0	0	0	0
X16S_407	7	7	2	1	5	1	7	2	5	6	7	4	6	13	7	12	0	1	5	3	1	3	0	1
X16S_408	4	14	3	1	9	4	7	4	8	7	4	2	13	7	7	1	1	1	8	8	0	2	0	3
X16S_409	16	4	0	1	3	4	8	1	2	1	6	14	4	3	5	10	1	3	3	2	26	6	46	30
X16S_410	10	3	6	5	151	3	6	5	4	28	7	3	12	5	2	3	15	16	10	3	12	6	9	6
X16S_411	9	29	1	1	7	15	7	7	5	12	4	7	2	21	19	44	10	11	18	22	25	13	21	24
X16S_412	7	8	0	0	6	3	7	4	7	3	3	12	2	21	88	0	22	37	0	5	5	6	2	2
X16S_413	12	12	27	11	3	0	125	0	35	4	2	0	19	1	0	0	18	1	26	0	3	1	9	0
X16S_414	8	6	6	12	2	15	5	15	8	3	5	11	2	10	3	1	3	10	6	19	6	3	4	18
X16S_415	0	1	0	0	0	0	0	0	0	1	0	2	2	12	9	10	0	0	2	0	0	0	1	7
X16S_416	4	31	22	31	9	9	4	22	11	10	25	12	5	7	1	1	7	28	16	10	4	3	3	31
X16S_417	2	4	0	0	5	4	3	0	0	4	3	9	0	6	4	1	1	4	1	0	8	9	4	3
X16S_418	7	3	13	7	5	6	3	9	3	1	11	8	3	1	2	4	10	10	3	4	7	5	0	3
X16S_419	3	3	2	1	9	1	2	0	1	6	5	5	0	1	1	1	3	2	2	1	5	2	3	4
X16S_420	2	1	1	0	4	0	0	0	0	10	0	0	1	12	17	36	0	0	0	0	0	1	11	19
X16S_421	2	18	2	3	4	4	3	3	3	1	11	5	3	5	2	4	4	1	2	7	1	2	0	0
X16S_422	12	18	5	4	13	10	10	8	20	11	11	14	10	5	7	6	18	15	5	1	10	9	16	8
X16S_423	4	15	2	0	13	2	16	0	3	13	1	19	12	16	76	0	0	4	4	1	2	4	30	7
X16S_424	10	7	1	3	4	15	15	13	11	3	7	16	12	15	19	32	4	8	11	8	8	9	7	14
X16S_425	18	5	1	6	20	41	7	18	20	16	15	11	8	14	3	6	3	29	24	33	26	16	10	2
X16S_426	1	6	0	0	1	1	3	3	0	2	0	5	5	3	8	4	0	1	1	1	0	3	4	3
X16S_427	2	3	4	1	3	3	11	13	8	4	1	16	3	9	1	2	3	17	8	2	3	6	7	14
X16S_428	7	5	1	8	8	25	4	12	8	9	12	4	0	15	5	0	74	13	8	24	39	4	6	0
X16S_429	0	5	0	0	0	0	0	0	0	7	0	1	4	1	0	0	1	8	1	0	0	3	0	0
X16S_430	14	4	3	4	4	5	1	7	4	9	6	4	2	12	6	11	5	8	5	9	15	2	4	3
X16S_431	4	14	2	2	51	3	16	3	0	6	0	39	1	6	0	1	0	7	2	1	5	5	8	1
X16S_432	4	3	0	0	5	7	0	9	1	2	3	9	2	4	2	5	1	3	2	7	4	9	0	1
X16S_433	6	14	1	2	2	6	2	0	0	12	4	11	2	22	53	40	0	1	5	7	10	12	41	19
X16S_434	0	4	36	45	35	7	3	3	9	4	9	10	26	15	4	3	9	6	25	10	1	2	1	23
